epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2629,2.26807,4.05878,1.94322,0.01587,0.35176,0.09815,0.06262,1.75565,4.08132,1.53341,8.671e-05,8.671e-05,8.671e-05
2,73.5788,2.00019,3.86246,1.77055,0.01259,0.34115,0.08276,0.05232,1.86994,4.05306,1.58983,0.000162261,0.000162261,0.000162261
3,104.515,1.92659,3.62858,1.6693,1,0.05629,0.08889,0.06173,2.03378,3.89788,1.66135,0.000219323,0.000219323,0.000219323
4,129.739,1.88226,3.41148,1.61784,1,0.06094,0.09164,0.06454,2.08932,3.79675,1.66842,0.000257896,0.000257896,0.000257896
5,162.428,1.77698,3.20854,1.5566,0.89599,0.05843,0.08797,0.06225,2.00558,3.86521,1.64598,0.000277979,0.000277979,0.000277979
6,194.527,1.71121,3.04753,1.50186,0.99548,0.07073,0.09485,0.06551,1.92051,3.6929,1.58915,0.000279573,0.000279573,0.000279573
7,226.521,1.70508,2.87055,1.48087,0.99927,0.07073,0.10562,0.07345,1.84062,3.56074,1.54408,0.000262678,0.000262678,0.000262678
8,260.502,1.67281,2.75255,1.46456,1,0.07297,0.10627,0.07217,1.82683,3.51214,1.56179,0.000204769,0.000204769,0.000204769
9,294.118,1.58281,2.61478,1.41459,0.68927,0.08049,0.11809,0.08071,1.78794,3.43081,1.54287,0.000138736,0.000138736,0.000138736
10,330.292,1.59697,2.53921,1.42718,0.70044,0.13382,0.12486,0.0908,1.73082,3.34347,1.51152,7.2703e-05,7.2703e-05,7.2703e-05
