epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3514,2.08794,3.74196,1.82535,0.00871,0.40508,0.1704,0.11836,1.40441,3.5439,1.35773,8.888e-05,8.888e-05,8.888e-05
2,27.0287,1.57445,3.37178,1.4603,0.01019,0.42947,0.32952,0.22849,1.42624,3.57519,1.32737,0.000170172,0.000170172,0.000170172
3,36.8895,1.48804,3.12905,1.41852,0.01051,0.46737,0.42091,0.29235,1.36977,3.46519,1.28734,0.000231666,0.000231666,0.000231666
4,46.8735,1.48982,2.83099,1.34894,0.01043,0.50791,0.42391,0.31817,1.42593,3.37357,1.33453,0.000273362,0.000273362,0.000273362
5,56.3622,1.47409,2.49687,1.3745,0.00822,0.49572,0.36186,0.28256,1.42635,3.27802,1.37421,0.000295259,0.000295259,0.000295259
6,66.5224,1.45727,2.2767,1.35732,0.00879,0.53494,0.39593,0.31904,1.57881,3.16468,1.42612,0.000297359,0.000297359,0.000297359
7,77.1052,1.43909,2.06633,1.36416,1,0.26011,0.42027,0.33621,1.46101,2.96984,1.34129,0.000279661,0.000279661,0.000279661
8,87.7342,1.26239,1.84381,1.29022,1,0.33367,0.41921,0.33661,1.44861,2.85792,1.3008,0.000242165,0.000242165,0.000242165
9,98.0266,1.33675,1.80507,1.32601,0.97269,0.35366,0.41098,0.33569,1.44094,2.73249,1.28675,0.00018487,0.00018487,0.00018487
10,107.854,1.2145,1.69494,1.25952,0.98377,0.36345,0.41852,0.33947,1.41544,2.59314,1.2784,0.000107778,0.000107778,0.000107778
